ID, ADRESSE, POSTNR, RUM, PRIS, KR/m2, BOLIG, GRUND, OPFORT, LIGGETID 
"5, Tordenskjoldsgade 23; 1.tv, 1055, 4, 4.395.000, 33.549, 131 m², 0 m², 1877, 426"
"6, Tordenskjoldsgade 27; 5. th., 1055, 4, 5.689.000, 33.269, 171 m², 0 m², 1880, 405"
"7, Tordenskjoldsgade 27; 2. th., 1055, 6, 5.995.000, 30.125, 199 m², 0 m², 1880, 148"
"8, Tordenskjoldsgade 27; 2. sal, 1055, 5, 6.198.000, 34.243, 181 m², 0 m², 1880, 158"
"9, Tordenskjoldsgade 27; 2. th., 1055, 6, 6.400.000, 30.046, 213 m², 0 m², 1880, 60"
"10, Tordenskjoldsgade 23; st., 1055, 7, 6.495.000, 31.682, 205 m², 0 m², 1877, 62"
"11, Tordenskjoldsgade 27; 2. th., 1055, 6, 6.750.000, 31.690, 213 m², 0 m², 1880, 41"
"12, Tordenskjoldsgade 27 3. th, 1055, 7, 6.750.000, 31.690, 213 m², 0 m², 1880, 117"
"13, Tordenskjoldsgade 27; 3.th, 1055, 7, 6.995.000, 32.840, 213 m², 0 m², 1880, 195"
"14, Tordenskjoldsgade 23; 5., 1055, 3, 6.995.000, 33.151, 211 m², 0 m², 1877, 109"
"15, Tordenskjoldsgade 27; 2. th., 1055, 6, 7.195.000, 36.155, 199 m², 0 m², 1880, 222"
"16, Tordenskjoldsgade, 1055, 7, 7.500.000, 37.688, 199 m², 0 m², 1880, 74"
"17, Tordenskjoldsgade 23; 5., 1055, 5, 7.995.000, 38.071, 210 m², 0 m², 1877, 90"
"18, Tordenskjoldsgade 27; 2. th., 1055, 5, 8.450.000, 42.462, 199 m², 0 m², 1880, 303"
"19, Tordenskjoldsgade 27; 4.; tv., 1055, 5, 8.500.000, 44.041, 193 m², 0 m², 1880, 98"
"20, Tordenskjoldsgade 27; 4. tv, 1055, 3, 8.500.000, 44.041, 193 m², 0 m², 1880, 1"
"1, Tordenskjoldsgade 27; 4. th., 1055, 5, 9.995.000, 47.146, 212 m², 0 m², 1880, 123"
"2, Holbergsgade 13A; 4., 1057, 2, 2.795.000, 32.500, 86 m², 0 m², 1890, 299"
"3, Holbergsgade 13A; 5., 1057, 2, 2.845.000, 36.948, 77 m², 0 m², 1890, 194"
"4, Holbergsgade 30; 4. th., 1057, 3, 3.095.000, 35.988, 86 m², 0 m², 1880, 9"
"5, Holbergsgade 13A; 5., 1057, 2, 3.150.000, 35.393, 89 m², 0 m², 1890, 33"
"6, Holbergsgade 13 A; 5., 1057, 2, 3.195.000, 35.898, 89 m², 0 m², 1890, 38"
"7, Holbergsgade 13 A; 5., 1057, 2, 3.195.000, 35.898, 89 m², 0 m², 1890, 140"
"8, Holbergsgade 13A; 5., 1057, 2, 3.799.000, 42.685, 89 m², 0 m², 1890, 25"
"9, Holbergsgade 30; 4. tv, 1057, 4, 4.900.000, 39.516, 124 m², 0 m², 1880, 105"
"10, Holbergsgade 30; 4. tv., 1057, 4, 4.995.000, 40.282, 124 m², 0 m², 1880, 27"
"11, Holbergsgade 30; 4. tv., 1057, 4, 4.995.000, 40.282, 124 m², 0 m², 1900, 99"
"12, Holbergsgade 13; 4., 1057, 7, 6.595.000, 28.426, 232 m², 0 m², 1890, 35"
"13, Holbergsgade 13A; st., 1057, 3, 2.195.000, 29.662, 74 m², 0 m², 1890, 79"
"14, Holbergsgade 13A; st., 1057, 3, 2.695.000, 36.418, 74 m², 0 m², 1890, 155"
"15, Nyhavn - u. bopælspligt; Mezz.., 1057, 3, 3.695.000, 38.894, 95 m², 0 m², 1880, 223"
"16, Nyhavn - u. bopælspligt; mezz.., 1057, 3, 4.195.000, 42.806, 98 m², 0 m², 1880, 188"
"17, Holbergsgade 30; 1. th., 1057, 5, 4.595.000, 32.821, 140 m², 0 m², 1880, 152"
"18, Holbergsgade 30; 1. th., 1057, 5, 4.694.000, 33.528, 140 m², 0 m², 1880, 364"
"19, Holbergsgade 13; 1., 1057, 7, 5.199.000, 24.995, 208 m², 0 m², 1890, 31"
"20, Nyhavn - u. bopælspligt; Mezz.., 1057, 4, 5.295.000, 34.161, 155 m², 0 m², 1880, 223"
"1, Holbergsgade 13; 4., 1057, 7, 5.950.000, 25.646, 232 m², 0 m², 1890, 382"
"2, Holbergsgade 13; 4, 1057, 7, 6.475.000, 27.909, 232 m², 0 m², 1890, 72"
"3, Havnegade 33; 4. th., 1058, 2, 4.200.000, 46.666, 90 m², 0 m², 1870, 95"
"4, Havnegade 33; 5. tv., 1058, 4, 5.995.000, 49.139, 122 m², 0 m², 1870, 97"
"5, Havnegade 33; 05. tv, 1058, 4, 5.995.000, 49.139, 122 m², 0 m², 1870, 7"
"6, Havnegade 31; st., 1058, 9, 9.000.000, 18.000, 500 m², 0 m², 2009, 153"
"7, Havnegade 33; 4. th., 1058, 3, 3.795.000, 46.280, 82 m², 0 m², 1870, 49"
"8, Havnegade 33; 5. tv, 1058, 4, 3.995.000, 32.745, 122 m², 0 m², 1870, 47"
"9, Havnegade 35; 2.th, 1058, 4, 4.845.000, 39.713, 122 m², 0 m², 1900, 13"
"10, Havnegade 31; 1. tv, 1058, 2, 5.150.000, 66.025, 78 m², 0 m², 1866, 18"
"11, Havnegade 31; 2. tv, 1058, 2, 5.370.000, 68.846, 78 m², 0 m², 1866, 79"
"12, Havnegade 31; 3. tv, 1058, 2, 5.625.000, 72.115, 78 m², 0 m², 1866, 136"
"13, Havnegade 35 3, 1058, 4, 5.890.000, 51.666, 114 m², 0 m², 1900, 191"
"14, Havnegade 31; st., 1058, 6, 8.995.000, 48.621, 185 m², 0 m², 1866, 274"
"15, Havnegade 31; 1. th, 1058, 5, 9.275.000, 61.833, 150 m², 0 m², 1866, 143"
"16, Havnegade 31; 2. th, 1058, 5, 9.670.000, 64.466, 150 m², 0 m², 1866, 87"
"17, Havnegade 31; 3. th, 1058, 5, 10.000.000, 66.666, 150 m², 0 m², 1866, 138"
"18, Boldhusgade 4  st.., 1062, 3, 3.195.000, 34.728, 92 m², 0 m², 1795, 183"
"19, Boldhusgade 2; 4., 1062, 3, 4.495.000, 39.778, 113 m², 0 m², 1796, 11"
"20, Boldhusgade 2; 4., 1062, 4, 4.500.000, 39.823, 113 m², 0 m², 1796, 145"
