ID, ADRESSE, POSTNR, RUM, PRIS, KR/m2, BOLIG, GRUND, OPFORT, LIGGETID 
"19, Nyhavn 53; 1., 1051, 7, 11.995.000, 43.777, 274 m², 0 m², 1755, 177"
"20, Nyhavn 12; 3., 1051, 5, 12.450.000, 64.507, 193 m², 920 m², 1780, 140"
"1, Nyhavn 49C 3., 1051, 2, 1.495.000, 28.750, 52 m², 0 m², 1887, 9"
"2, Nyhavn 49C; 3., 1051, 1, 1.495.000, 28.750, 52 m², 0 m², 1887, 58"
"3, Nyhavn 31L; St, 1051, 2, 2.250.000, 35.156, 64 m², 0 m², 1900, 63"
"4, Nyhavn 31E; st tv, 1051, 2, 2.250.000, 32.608, 69 m², 0 m², 1900, 45"
"5, Nyhavn 12 A; 3. sal, 1051, 2, 2.349.000, 46.980, 50 m², 0 m², 1780, 11"
"6, Nyhavn 31 B; 3., 1051, 2, 2.500.000, 39.062, 64 m², 64 m², 1800, 183"
"7, Nyhavn 31B; st, 1051, 1, 2.598.000, 35.108, 74 m², 0 m², 1800, 94"
"8, Nyhavn 12 A 2, 1051, 3, 2.695.000, 29.293, 92 m², 0 m², 1780, 180"
"9, Nyhavn 12D; 1. mf., 1051, 2, 2.695.000, 33.687, 80 m², 0 m², 1780, 19"
"10, Nyhavn 31E; 1; 3, 1051, 3, 2.750.000, 36.184, 76 m², 0 m², 1900, 209"
"11, Nyhavn 12A 2., 1051, 3, 2.792.000, 27.920, 100 m², 0 m², 1780, 182"
"12, Nyhavn 31 M; St., 1051, 2, 2.890.000, 34.000, 85 m², 0 m², 1900, 181"
"13, Nyhavn 31E; 3; 3, 1051, 3, 2.950.000, 39.333, 75 m², 0 m², 1900, 215"
"14, Nyhavn 31E; st th, 1051, 2, 2.990.000, 32.150, 93 m², 0 m², 1900, 189"
"15, Nyhavn 31c; st, 1051, 4, 2.995.000, 28.523, 105 m², 0 m², 1800, 151"
"16, Nyhavn 12D; st., 1051, 3, 2.995.000, 25.598, 117 m², 0 m², 1780, 12"
"17, Nyhavn 31J; 1. tv., 1051, 3, 2.995.000, 33.277, 90 m², -1 m², 1800, 23"
"18, Nyhavn 35; st., 1051, 3, 2.999.000, 38.948, 77 m², 0 m², 1700, 66"
"19, Nyhavn 31B; 1. tv., 1051, 3, 3.195.000, 27.782, 115 m², 0 m², 1800, 70"
"20, Nyhavn 31; stue, 1051, 4, 3.195.000, 28.526, 112 m², 0 m², 0, 260"
"1, Nyhavn 31 K; 2. sal, 1051, 5, 3.195.000, 20.480, 156 m², 0 m², 1800, 167"
"2, Nyhavn 31E; 1 mf tv, 1051, 3, 3.290.000, 36.153, 91 m², 0 m², 1900, 84"
"3, Nyhavn 31E; 1; 1, 1051, 3, 3.360.000, 35.000, 96 m², 0 m², 1900, 64"
"4, Nyhavn 31E; 1; 1, 1051, 3, 3.360.000, 35.000, 96 m², 0 m², 1900, 11"
"5, Nyhavn 31E; 2 mf, 1051, 3, 3.390.000, 37.252, 91 m², 0 m², 1900, 35"
"6, Nyhavn 31C; ST., 1051, 4, 3.450.000, 32.857, 105 m², 0 m², 1800, 201"
"7, Nyhavn 31E; 2 tv, 1051, 3, 3.460.000, 36.041, 96 m², 0 m², 1900, 53"
"8, Nyhavn 12A; 2., 1051, 3, 3.495.000, 37.989, 92 m², 0 m², 1780, 171"
"9, Nyhavn 31C; st., 1051, 4, 3.500.000, 31.250, 112 m², 0 m², 1800, 224"
"10, Nyhavn 31E; 3; 1, 1051, 3, 3.560.000, 37.083, 96 m², 0 m², 1900, 42"
"11, Nyhavn 31E; 4 mf, 1051, 3, 3.590.000, 39.450, 91 m², 0 m², 1900, 17"
"12, Nyhavn 31E; 4 tv, 1051, 3, 3.660.000, 38.125, 96 m², 0 m², 1900, 53"
"13, Nyhavn 31E; 1; 4, 1051, 3, 3.690.000, 36.534, 101 m², 0 m², 1900, 157"
"14, Nyhavn 31F; st.th, 1051, 3, 3.750.000, 38.265, 98 m², 0 m², 1918, 132"
"15, Nyhavn 31E; 5 tv, 1051, 3, 3.760.000, 39.578, 95 m², 0 m², 1900, 201"
"16, Nyhavn 31E; 2 th, 1051, 3, 3.790.000, 36.796, 103 m², 0 m², 1900, 26"
"17, Nyhavn 31E; 3 th, 1051, 3, 3.890.000, 38.900, 100 m², 0 m², 1900, 121"
"18, Nyhavn 31E; 4 th, 1051, 3, 3.990.000, 39.117, 102 m², 0 m², 1900, 36"
"19, Nyhavn 31D, 1051, 2, 3.995.000, 66.583, 60 m², 0 m², 1800, 81"
"20, Nyhavn 31C; 4.sal, 1051, 4, 4.148.000, 33.451, 124 m², 0 m², 1800, 301"
"1, Nyhavn 31A; 1. th., 1051, 4, 4.150.000, 29.432, 141 m², 0 m², 1800, 45"
"2, Nyhavn 12D; 02. TV., 1051, 3, 4.250.000, 36.324, 117 m², 0 m², 1780, 26"
"3, Nyhavn 31F; 1.; tv., 1051, 2, 4.295.000, 40.140, 107 m², 0 m², 1918, 504"
"4, Nyhavn 53B; 1., 1051, 4, 4.295.000, 32.052, 134 m², 0 m², 1775, 300"
"5, Nyhavn 31E; 5 mf, 1051, 3, 4.390.000, 40.275, 109 m², 0 m², 1900, 42"
"6, Nyhavn 31J; 2. th., 1051, 3, 4.395.000, 38.893, 113 m², 0 m², 1800, 185"
"7, Nyhavn 31J; 2. th., 1051, 3, 4.395.000, 38.893, 113 m², 0 m², 1800, 215"
"8, Nyhavn 53B; 1.sal, 1051, 5, 4.496.000, 33.552, 134 m², 0 m², 1755, 200"
"9, Nyhavn 31F; st.tv, 1051, 2, 4.500.000, 47.872, 94 m², 0 m², 1918, 608"
"10, Nyhavn 31K; 2. + 3., 1051, 3, 4.500.000, 28.846, 156 m², 0 m², 1800, 42"
"11, Nyhavn 31, 1051, 3, 4.500.000, 48.387, 93 m², 0 m², 1800, 234"
"12, Nyhavn 31F; 1. tv., 1051, 2, 4.500.000, 46.391, 97 m², 0 m², 1918, 40"
"13, Nyhavn, 1051, 3, 4.500.000, 48.387, 93 m², 0 m², 1800, 248"
"14, Nyhavn 31 E; 4. th, 1051, 3, 4.795.000, 46.553, 103 m², 0 m², 1900, 0"
"15, Nyhavn 51; 1., 1051, 5, 4.950.000, 28.125, 176 m², 0 m², 1766, 536"
"16, Nyhavn 23; 4., 1051, 4, 4.995.000, 34.212, 146 m², 0 m², 1700, 70"
"17, Nyhavn 31F; 1. tv., 1051, 2, 4.995.000, 51.494, 97 m², 0 m², 1918, 447"
"18, Nyhavn 31J; 2. th., 1051, 3, 5.000.000, 44.247, 113 m², 0 m², 1800, 243"
"19, Nyhavn 53B; 1. th., 1051, 4, 5.200.000, 34.210, 152 m², 0 m², 1755, 297"
"20, Nyhavn 14; 2., 1051, 3, 5.250.000, 34.539, 152 m², 0 m², 1770, 179"
"1, Nyhavn, 1051, 2, 5.295.000, 56.329, 94 m², 0 m², 1918, 41"
"2, Nyhavn 53B; 2., 1051, 5, 5.395.000, 40.871, 132 m², 0 m², 1755, 125"
"3, Nyhavn, 1051, 4, 5.395.000, 41.821, 129 m², 0 m², 1755, 96"
"4, Nyhavn 14; 2., 1051, 3, 5.495.000, 36.151, 152 m², 0 m², 1770, 806"
"5, Nyhavn 51; 1.; Med udsigt til bolværket!, 1051, 5, 5.995.000, 41.061, 146 m², 0 m², 1766, 219"
"6, Nyhavn 23 04, 1051, 4, 6.000.000, 76.923, 78 m², 0 m², 1700, 254"
"7, Nyhavn 31J; 1., 1051, 6, 6.000.000, 34.682, 173 m², 0 m², 1800, 181"
"8, Nyhavn 31C; 4. sal, 1051, 3, 6.190.000, 49.919, 124 m², 0 m², 1800, 107"
"9, Nyhavn 31A; 1., 1051, 8, 6.950.000, 27.148, 256 m², 0 m², 1800, 62"
"10, Nyhavn 31F; 4. tv., 1051, 4, 6.985.000, 50.985, 137 m², 0 m², 1918, 326"
"11, Nyhavn 12; 2., 1051, 6, 6.995.000, 30.951, 226 m², 0 m², 1780, 183"
"12, Nyhavn 31A; 1. th, 1051, 6, 6.998.000, 27.335, 256 m², 0 m², 1800, 229"
"13, Nyhavn 14; 2. sal, 1051, 3, 7.245.000, 50.312, 144 m², 0 m², 1770, 502"
"14, Nyhavn 14; 2. sal., 1051, 3, 7.300.000, 50.694, 144 m², 0 m², 1770, 0"
"15, Toldbodgade, 1051, 5, 7.795.000, 46.124, 169 m², 0 m², 1852, 79"
"16, Nyhavn 45, 1051, 5, 9.800.000, 56.976, 172 m², 0 m², 1790, 455"
"17, Nyhavn 31A; 3., 1051, 3, 10.000.000, 50.251, 199 m², 0 m², 1800, 34"
"18, Nyhavn 31A; 3., 1051, 3, 10.000.000, 50.251, 199 m², 0 m², 1800, 205"
"19, Nyhavn 12 1., 1051, 7, 10.800.000, 41.860, 258 m², 0 m², 1780, 258"
"20, Nyhavn 53, 1051, 7, 12.900.000, 51.807, 249 m², 0 m², 1755, 161"
"1, Herluf Trolles Gade 7; st. tv, 1052, 3, 3.395.000, 34.642, 98 m², 31 m², 1890, 33"
"2, Herluf Trolles Gade 7; 02. tv, 1052, 4, 3.395.000, 36.902, 92 m², 0 m², 1890, 28"
"3, Herluf Trolles Gade 7; 1. tv., 1052, 3, 4.400.000, 41.121, 107 m², 0 m², 1890, 69"
"4, Herluf Trolles Gade 7; st. tv., 1052, 4, 4.500.000, 45.918, 98 m², 342 m², 1890, 58"
"5, Herluf Trolles Gade 7; mezz. tv., 1052, 4, 4.850.000, 49.489, 98 m², 0 m², 1890, 89"
"6, Herluf Trolles Gade 7; st. th.; Nyhavn, 1052, 4, 1.820.000, 20.000, 91 m², 0 m², 1890, 194"
"7, Herluf Trolles Gade 7; Mezz, 1052, 3, 2.695.000, 28.072, 96 m², 0 m², 1890, 177"
"8, Herluf Trolles Gade 7; 3. sal, 1052, 3, 2.795.000, 32.882, 85 m², 0 m², 1890, 130"
"9, Herluf Trolles Gade 7; 1. th., 1052, 4, 2.995.000, 24.958, 120 m², 0 m², 1890, 19"
"10, St.Kongensgade 79; 1, 1052, 3, 3.295.000, 36.208, 91 m², 0 m², 0, 517"
"11, Herluf Trolles Gade 7 05. TH, 1052, 4, 3.595.000, 32.387, 111 m², 0 m², 1890, 228"
"12, Herluf Trolles Gade 22; 5. tv., 1052, 3, 3.795.000, 43.620, 87 m², 377 m², 1873, 35"
"13, Herluf Trolles Gade 22; 4. tv., 1052, 4, 3.875.000, 36.556, 106 m², 0 m², 1873, 93"
"14, Herluf Trolles Gade, 1052, 4, 4.050.000, 40.500, 100 m², 0 m², 1890, 193"
"15, Herluf Trolles Gade 22; 4. sal, 1052, 4, 4.250.000, 35.714, 119 m², 0 m², 1873, 39"
"16, Herluf Trolles Gade; Kbh. K., 1052, 4, 4.300.000, 43.000, 100 m², 0 m², 1890, 38"
"17, Herluf Trolles Gade 22; 5. th., 1052, 5, 5.795.000, 42.299, 137 m², 0 m², 1873, 112"
"18, Herluf Trolles Gade 22; 1 th., 1052, 6, 5.995.000, 39.966, 150 m², 0 m², 1873, 123"
"19, Cort Adelers Gade 1; 5. th., 1053, 5, 9.250.000, 51.966, 178 m², 617 m², 1873, 26"
"20, Cort Adelers Gade 1; 1.th, 1053, 5, 9.880.000, 47.961, 206 m², 0 m², 1873, 162"
"1, Herluf trolles Gade 22; 4. TV., 1053, 4, 4.495.000, 42.405, 106 m², 0 m², 1873, 206"
"2, Cort Adelers Gade 1; 4. th., 1053, 6, 5.995.000, 29.101, 206 m², 0 m², 1873, 195"
"3, Cort Adelers Gade 1; 4 th, 1053, 6, 6.195.000, 30.072, 206 m², 0 m², 1873, 137"
"4, Cort Adelers Gade 1; 4. TH., 1053, 6, 6.250.000, 32.722, 191 m², 0 m², 1873, 169"
"5, Peder Skrams Gade 10; 03. th, 1054, 4, 2.995.000, 34.425, 87 m², 0 m², 1872, 8"
"6, Peder Skrams Gade 27; st. tv.; (Mezz.), 1054, 2, 2.995.000, 41.027, 73 m², 0 m², 1935, 129"
"7, Peder Skrams Gade 8 st. tv, 1054, 3, 2.995.000, 29.653, 101 m², 0 m², 1872, 177"
"8, Peder Skrams Gade 8; st. tv., 1054, 3, 3.195.000, 31.633, 101 m², 0 m², 1872, 325"
"9, Peder Skrams Gade 27; st. tv., 1054, 3, 3.250.000, 44.520, 73 m², 0 m², 1900, 83"
"10, Peder Skrams Gade 10 1. th, 1054, 3, 3.495.000, 40.172, 87 m², 0 m², 1872, 27"
"11, Peder Skrams Gade 28; 4. tv, 1054, 3, 3.895.000, 49.935, 78 m², 0 m², 1870, 243"
"12, Peder Skrams Gade 27; 2. tv., 1054, 4, 4.995.000, 45.000, 111 m², 722 m², 1900, 17"
"13, Peder Skrams Gade 10A; st., 1054, 4, 5.000.000, 38.461, 130 m², 0 m², 1872, 227"
"14, Peder Skrams Gade 10A mezz, 1054, 4, 5.995.000, 46.115, 130 m², 0 m², 1872, 183"
"15, Peder Skrams Gade 15; 1., 1054, 6, 6.175.000, 31.030, 199 m², 0 m², 1876, 291"
"16, Peder Skrams Gade 8; 3. tv, 1054, 5, 6.495.000, 47.757, 136 m², 0 m², 1872, 16"
"17, Peder Skrams Gade 8; 3. tv, 1054, 4, 6.595.000, 48.492, 136 m², 0 m², 1872, 48"
"18, Peder Skrams Gade 15; 5., 1054, 5, 8.500.000, 50.000, 170 m², 0 m², 1876, 209"
"19, Peder Skrams Gade 28 st th, 1054, 3, 2.099.000, 26.569, 79 m², 0 m², 1870, 85"
"20, Peder Skrams Gade 28; ST. TH., 1054, 3, 2.295.000, 32.323, 71 m², 0 m², 1870, 25"
"1, Peder Skrams Gade 27; st tv., 1054, 2, 2.495.000, 38.384, 65 m², 0 m², 1900, 33"
"2, Peder Skrams Gade 10; 1. tv., 1054, 3, 2.595.000, 32.848, 79 m², 0 m², 1872, 59"
"3, Peder Skrams Gade 28; 2.tv, 1054, 3, 2.675.000, 39.338, 68 m², 0 m², 1870, 190"
"4, Peder Skrams Gade 10; 1. tv., 1054, 3, 2.695.000, 34.113, 79 m², 0 m², 1872, 913"
"5, Peder Skrams Gade 8; St., 1054, 4, 2.745.000, 30.842, 89 m², 0 m², 1872, 84"
"6, Peder Skrams Gade 8; st. tv., 1054, 3, 2.795.000, 31.404, 89 m², 0 m², 1872, 63"
"7, Peder Skrams Gade 8; 5. sal, 1054, 2, 2.795.000, 34.506, 81 m², 0 m², 1872, 84"
"8, Peder Skrams Gade 27; st. tv., 1054, 2, 2.895.000, 39.657, 73 m², 0 m², 1900, 108"
"9, Peder Skrams Gade 27; st. tv., 1054, 2, 2.895.000, 39.657, 73 m², 0 m², 1900, 13"
"10, Peder Skrams Gade 27; st. tv., 1054, 2, 2.895.000, 39.657, 73 m², 0 m², 1900, 293"
"11, Peder Skrams Gade 10; 2. tv., 1054, 3, 2.995.000, 37.911, 79 m², 0 m², 1872, 50"
"12, Peder Skrams Gade 8; st th, 1054, 3, 2.995.000, 29.950, 100 m², 0 m², 1872, 104"
"13, Peder Skrams Gade 28; 1. tv., 1054, 3, 2.995.000, 44.044, 68 m², 0 m², 1870, 188"
"14, Peder Skrams Gade 8; St., 1054, 3, 2.995.000, 29.950, 100 m², 0 m², 1872, 84"
"15, Peder Skrams Gade 28; 2. tv., 1054, 3, 2.995.000, 44.044, 68 m², 0 m², 1870, 20"
"16, Peder Skrams Gade 10; 4. TH., 1054, 3, 3.095.000, 39.177, 79 m², 0 m², 1872, 45"
"17, Peder Skrams Gade 8; 5. sal, 1054, 2, 3.195.000, 34.354, 93 m², 0 m², 1872, 84"
"18, Peder Skrams Gade 27; 4. sal, 1054, 3, 3.248.000, 31.533, 103 m², 0 m², 1900, 50"
"19, Peder Skrams Gade, 1054, 3, 3.295.000, 48.455, 68 m², 68 m², 1870, 42"
"20, Peder Skrams Gade 10; 3. tv., 1054, 3, 3.295.000, 41.708, 79 m², 0 m², 1872, 126"
"1, Peder Skrams Gade 8; 1. sal, 1054, 4, 3.325.000, 31.971, 104 m², 0 m², 1872, 84"
"2, Peder Skrams Gade 8; 2. sal, 1054, 4, 3.445.000, 33.125, 104 m², 0 m², 1872, 84"
"3, Peder Skrams Gade 27; 1. tv., 1054, 3, 3.450.000, 33.495, 103 m², 0 m², 1900, 97"
"4, Peder Skrams Gade 27; 3. sal, 1054, 4, 3.495.000, 33.932, 103 m², 0 m², 1900, 31"
"5, Peder Skrams Gade 8; 1 th, 1054, 4, 3.495.000, 31.205, 112 m², 0 m², 1872, 46"
"6, Peder Skrams Gade 10; 3. tv., 1054, 3, 3.495.000, 44.240, 79 m², 0 m², 1872, 109"
"7, Peder Skrams Gade 8; 3. sal, 1054, 4, 3.595.000, 34.567, 104 m², 0 m², 1872, 84"
"8, Peder Skrams Gade 8; 1 th., 1054, 4, 3.595.000, 32.098, 112 m², 0 m², 1872, 96"
"9, Peder Skrams Gade 8; 2 th, 1054, 4, 3.695.000, 35.528, 104 m², 0 m², 1872, 68"
"10, Peder Skrams Gade 8; 1 th., 1054, 4, 3.695.000, 35.873, 103 m², 0 m², 1872, 138"
"11, Peder Skrams Gade 27; 4. th., 1054, 4, 3.695.000, 35.528, 104 m², 0 m², 1900, 120"
"12, Peder Skrams Gade 8; 4. sal, 1054, 4, 3.745.000, 36.009, 104 m², 0 m², 1872, 84"
"13, Peder Skrams Gade 8; 1. sal, 1054, 3, 3.795.000, 30.604, 124 m², 0 m², 1872, 84"
"14, Peder Skrams Gade 8; 4 th, 1054, 4, 3.895.000, 37.451, 104 m², 0 m², 1872, 36"
"15, Peder Skrams Gade 8; 3 th, 1054, 4, 3.895.000, 37.815, 103 m², 0 m², 1872, 138"
"16, Peder Skrams Gade 8; 3 th, 1054, 4, 3.895.000, 34.776, 112 m², 0 m², 1872, 41"
"17, Peder Skrams Gade 8; 2. sal, 1054, 5, 3.895.000, 31.411, 124 m², 0 m², 1872, 26"
"18, Peder Skrams Gade 27; 3. tv, 1054, 3, 3.995.000, 38.786, 103 m², 0 m², 1900, 233"
"19, Peder Skrams Gade 8; 3. sal, 1054, 5, 4.025.000, 32.459, 124 m², 0 m², 1872, 26"
"20, Peder Skrams Gade 8; 1. tv., 1054, 5, 4.095.000, 33.024, 124 m², 0 m², 1872, 68"
"1, Peder Skrams Gade 8; 4. sal, 1054, 0, 4.145.000, 33.427, 124 m², 0 m², 1872, 26"
"2, Peder Skrams Gade 10A; mezz., 1054, 4, 4.200.000, 35.000, 120 m², 0 m², 1872, 309"
"3, Peder Skrams Gade; Kbh. K., 1054, 4, 4.260.000, 40.961, 104 m², 0 m², 1900, 271"
"4, Peder Skrams Gade 10 A; 2. sal, 1054, 3, 4.750.000, 30.254, 157 m², 0 m², 1872, 0"
"5, Peder Skrams Gade 10 A 02, 1054, 3, 5.750.000, 39.115, 147 m², 0 m², 1872, 493"
"6, Peder Skrams Gade 10; 5. sal, 1054, 3, 5.950.000, 41.901, 142 m², 0 m², 1871, 140"
"7, Peder Skrams Gade 15; 1., 1054, 6, 6.500.000, 32.663, 199 m², 0 m², 1876, 177"
"8, Peder Skrams Gade 15; 2. sal., 1054, 6, 7.650.000, 44.736, 171 m², 0 m², 1876, 302"
"9, Tordenskjoldsgade 27C; st., 1055, 2, 3.495.000, 43.687, 80 m², 0 m², 1880, 111"
"10, Tordenskjoldsgade 27; st., 1055, 2, 4.495.000, 39.429, 114 m², 0 m², 1880, 82"
"11, Tordenskjoldsgade 23; 2. tv, 1055, 4, 5.295.000, 37.553, 141 m², 0 m², 1877, 56"
"12, Tordenskjoldsgade 23; 1. th., 1055, 4, 6.000.000, 46.875, 128 m², 554 m², 1877, 38"
"13, Tordenskjoldsgade 27; 5. tv., 1055, 2, 6.750.000, 45.302, 149 m², 0 m², 1880, 82"
"14, Tordenskjoldsgade 27  4. TV., 1055, 3, 9.350.000, 48.445, 193 m², 0 m², 1880, 145"
"15, Tordenskjoldsgade 27 B, 1055, 4, 3.150.000, 40.909, 77 m², 0 m², 1880, 182"
"16, Tordenskjoldsgade 27B., 1055, 3, 3.495.000, 45.389, 77 m², 0 m², 1880, 219"
"17, Tordenskjoldsgade 27A; st, 1055, 3, 3.496.000, 42.634, 82 m², 0 m², 1880, 111"
"18, Tordenskjoldsgade, 1055, 3, 3.595.000, 43.841, 82 m², 0 m², 1880, 42"
"19, Tordenskjoldsgade 23; 2. TH., 1055, 4, 3.751.000, 31.258, 120 m², 0 m², 1877, 50"
"20, Tordenskjoldsgade 23 4. Th, 1055, 4, 3.795.000, 29.418, 129 m², 0 m², 1877, 111"
"1, Tordenskjoldsgade 23 1. TH, 1055, 4, 3.995.000, 31.210, 128 m², 0 m², 1877, 119"
"2, Tordenskjoldsgade 23; 1.tv, 1055, 4, 3.996.000, 30.503, 131 m², 0 m², 1877, 131"
"3, Tordenskjoldsgade 23; 2. TV., 1055, 4, 4.195.000, 31.780, 132 m², 0 m², 1877, 174"
"4, Tordenskjoldsgade 23; 2. th., 1055, 4, 4.250.000, 35.416, 120 m², 0 m², 1877, 194"
